City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Mexico,PH,15.0646,120.7198,82.11,84,100,0.4,overcast clouds
235,Limeira,BR,-22.5647,-47.4017,62.67,72,51,13.42,broken clouds
236,Seoul,KR,37.5683,126.9778,67.44,94,100,12.66,overcast clouds
237,Angul,IN,20.85,85.1,78.06,82,91,1.41,overcast clouds
238,Cherskiy,RU,68.75,161.3,45.93,61,100,12.19,overcast clouds
239,Angoche,MZ,-16.2325,39.9086,70.41,84,0,6.17,clear sky
240,Kruisfontein,ZA,-34.0033,24.7314,54.88,62,15,17.38,few clouds
241,Vila Velha,BR,-20.3297,-40.2925,67.95,82,75,8.99,broken clouds
242,Kaitangata,NZ,-46.2817,169.8464,44.4,62,87,11.88,overcast clouds
243,Beloha,MG,-25.1667,45.05,66.74,63,0,4.56,clear sky
244,Litovko,RU,49.2361,135.1742,60.62,85,100,5.88,overcast clouds
245,San Cristobal,VE,7.7669,-72.225,78.98,97,49,4.47,scattered clouds
246,Khani,GE,41.9563,42.9566,56.77,98,98,2.8,overcast clouds
247,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,76,0,3.44,clear sky
248,Emerald,AU,-23.5333,148.1667,66.34,64,24,14.85,few clouds
249,Sao Joaquim,BR,-28.2939,-49.9317,45.16,96,100,2.3,heavy intensity rain
250,Takoradi,GH,4.8845,-1.7554,74.91,90,81,6.67,broken clouds
251,Astana,KZ,51.1801,71.446,67.95,42,0,13.42,clear sky
252,Alice Springs,AU,-23.7,133.8833,60.35,26,100,6.91,overcast clouds
253,Hithadhoo,MV,-0.6,73.0833,82.02,71,100,18.41,overcast clouds
254,Mount Gambier,AU,-37.8333,140.7667,50.27,68,100,4.74,overcast clouds
255,Quelimane,MZ,-17.8786,36.8883,67.42,91,0,3.49,clear sky
256,Gat,IL,31.61,34.7642,75.88,100,0,2.91,clear sky
257,Anyama,CI,5.4946,-4.0518,74.21,85,99,5.77,overcast clouds
258,Kodinsk,RU,58.6881,99.1844,41.29,96,76,3.38,broken clouds
259,Ostersund,SE,63.1792,14.6357,48.65,93,25,8.05,scattered clouds
260,Salalah,OM,17.0151,54.0924,76.95,92,100,4.61,overcast clouds
261,Kedrovyy,RU,56.1667,91.8167,41.41,74,100,4.76,overcast clouds
262,Beinamar,TD,8.6698,15.3813,70.05,96,96,1.59,overcast clouds
263,Pelym,RU,61.0108,61.9978,43.23,76,100,2.33,overcast clouds
264,Sambava,MG,-14.2667,50.1667,70.79,80,75,9.89,light rain
265,Port Blair,IN,11.6667,92.75,75.24,94,100,4.61,heavy intensity rain
266,Bethel,US,41.3712,-73.414,74.93,88,100,3.44,mist
267,Lusambo,CD,-4.9667,23.45,71.62,76,4,1.74,clear sky
268,Belaya Gora,RU,68.5333,146.4167,51.84,42,88,9.73,overcast clouds
269,Novobirilyussy,RU,56.9514,90.6661,47.89,75,100,5.12,overcast clouds
270,Derbent,RU,42.0678,48.2899,63.48,74,97,18.43,overcast clouds
271,Swan Hill,AU,-35.3378,143.5544,55.72,58,100,6.6,overcast clouds
272,Luanda,AO,-8.8368,13.2343,69.8,88,75,4.61,broken clouds
273,Nikolskoye,RU,59.7035,30.7861,45.88,79,47,4.56,scattered clouds
274,Saint-Louis,SN,16.3333,-15.0,87.44,57,70,10.18,broken clouds
275,Huarmey,PE,-10.0681,-78.1522,62.28,81,40,6.78,scattered clouds
276,Kirkwood,US,38.5834,-90.4068,76.59,87,75,10.36,broken clouds
277,Atambua,ID,-9.1061,124.8925,79.52,53,75,1.68,broken clouds
278,Watertown,US,42.3709,-71.1828,67.14,94,100,8.05,moderate rain
279,Mitsamiouli,KM,-11.3847,43.2844,73.87,75,0,9.37,clear sky
280,Midleton,IE,51.9153,-8.1805,62.65,88,81,20.18,broken clouds
281,Havoysund,NO,70.9963,24.6622,46.63,83,100,12.77,overcast clouds
282,Kyzyl-Oktyabr,KG,42.769,75.7313,65.48,36,2,6.58,clear sky
283,Asau,RO,46.4333,26.4,47.32,68,91,2.3,light rain
284,Dabat,ET,12.9842,37.765,49.82,91,57,0.83,broken clouds
285,Russkiy,RU,43.0147,131.8642,60.66,94,100,14.63,heavy intensity rain
286,Dali,CN,25.7,100.1833,57.31,94,100,3.4,overcast clouds
287,Bavly,RU,54.393,53.2602,44.11,69,97,5.03,overcast clouds
288,Babstovo,RU,48.1167,132.4833,60.64,92,100,5.12,light rain
289,Knysna,ZA,-34.0363,23.0471,53.1,66,14,10.02,few clouds
290,Yerbogachen,RU,61.2767,108.0108,40.86,90,93,12.3,overcast clouds
291,Sernovodsk,RU,43.3117,45.1594,57.76,88,100,1.14,light rain
292,Chapais,CA,49.7834,-74.8492,64.18,53,4,2.73,clear sky
293,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,71,13.35,broken clouds
294,Esperance,AU,-33.8667,121.9,57.04,78,87,10.49,overcast clouds
295,Ulaanbaatar,MN,47.9077,106.8832,30.33,93,40,2.24,scattered clouds
296,Tilichiki,RU,60.4667,166.1,48.51,45,2,14.45,clear sky
297,Bilibino,RU,68.0546,166.4372,37.53,75,100,5.21,overcast clouds
